id_pelanggan,nama_pelanggan,alamat,kota,provinsi,kode_pos,nomor_telepon,tanggal_lahir,jenis_kelamin,status_pelanggan
146,Candra Hasanah,"Gang Cihampelas No. 097, Balikpapan, JI 53648",Sibolga,Banten,32644,+62 (039) 021-1378,1969-05-08,Perempuan,Nonaktif
147,Purwadi Usamah,"Jalan Suniaraja No. 695, Sungai Penuh, Kepulauan Riau 78541",Denpasar,Kalimantan Barat,50483,+62 (0577) 697 5537,1980-09-13,Perempuan,Aktif
148,"Naradi Novitasari, S.IP","Jl. Antapani Lama No. 1, Solok, Nusa Tenggara Timur 06917",Tangerang,Sumatera Utara,23475,082 274 1705,2003-05-02,Perempuan,Nonaktif
149,Intan Mandala,"Jalan Raya Ujungberung No. 84, Sukabumi, Jambi 64618",Sabang,Sulawesi Tenggara,52984,+62 (613) 472 9827,1955-03-13,Perempuan,Aktif
150,Ratna Haryanti,"Gang Antapani Lama No. 7, Malang, NB 59285",Bitung,Papua Barat,41615,+62-232-861-9532,1958-05-22,Laki-laki,Nonaktif
151,Sutan Candra Pudjiastuti,"Jalan Ciumbuleuit No. 76, Singkawang, KR 47402",Solok,DI Yogyakarta,85487,088 817 2853,1949-02-11,Perempuan,Nonaktif
152,Farah Saragih,"Gg. Cihampelas No. 02, Bandar Lampung, Nusa Tenggara Barat 58689",Kota Administrasi Jakarta Pusat,Bali,88122,+62 (0664) 359 4312,1972-11-09,Laki-laki,Aktif
153,"Cakrabuana Narpati, M.M.","Jl. Suryakencana No. 7, Tangerang, SU 34396",Malang,Kalimantan Selatan,84913,(067) 387-9364,2001-04-14,Perempuan,Aktif
154,"Hafshah Samosir, S.Kom","Jl. Erlangga No. 08, Sawahlunto, Kalimantan Timur 00166",Tangerang,Jawa Tengah,78071,+62 (76) 303-2456,2001-05-19,Perempuan,Aktif
155,drg. Fitria Yulianti,"Gg. Cikutra Barat No. 522, Bukittinggi, MA 23588",Padang,Sumatera Barat,30458,0898385324,1980-11-21,Laki-laki,Aktif
156,"Ibrahim Yulianti, S.IP","Gg. HOS. Cokroaminoto No. 40, Pangkalpinang, PA 81436",Singkawang,Kepulauan Riau,05049,0848139547,1977-04-25,Laki-laki,Nonaktif
157,R.M. Prabowo Hidayat,"Jalan Kutisari Selatan No. 264, Salatiga, Sulawesi Tenggara 45385",Pematangsiantar,Banten,02045,+62 (53) 711 1847,1984-05-17,Laki-laki,Aktif
158,"Uli Irawan, M.TI.","Gang Surapati No. 2, Palangkaraya, Banten 80562",Bandung,DI Yogyakarta,21293,(0452) 348-1806,1969-01-07,Perempuan,Aktif
159,"R. Eva Wijayanti, S.Pt","Jl. Siliwangi No. 343, Pekalongan, AC 91620",Jayapura,Jawa Barat,29896,+62 (037) 227 6695,1977-01-09,Laki-laki,Aktif
160,Aris Gunarto,"Jl. Rajawali Barat No. 61, Pangkalpinang, Jambi 99980",Payakumbuh,Gorontalo,73276,+62-34-583-7171,1949-02-25,Laki-laki,Aktif
161,Ira Wijaya,"Jl. BKR No. 886, Palembang, Jawa Timur 39856",Cirebon,Jawa Barat,32895,(033) 738 9409,1963-09-16,Laki-laki,Aktif
162,"R.A. Padmi Haryanto, S.Kom","Jalan Surapati No. 394, Padang Sidempuan, KT 77191",Binjai,Jawa Barat,63396,+62 (75) 498 0877,1968-11-07,Perempuan,Nonaktif
163,Virman Hidayanto,"Gang M.T Haryono No. 90, Pekanbaru, BT 90241",Sawahlunto,Kalimantan Selatan,39046,+62-0288-904-6777,1958-01-01,Laki-laki,Nonaktif
164,Chelsea Rajasa,"Jl. Asia Afrika No. 168, Bogor, Kepulauan Riau 49484",Manado,Kalimantan Selatan,44627,0819709388,1956-09-30,Laki-laki,Nonaktif
165,Tami Maheswara,"Gg. Veteran No. 37, Padangpanjang, Jambi 94563",Subulussalam,DI Yogyakarta,64062,+62 (098) 829 8251,1996-01-21,Perempuan,Nonaktif
166,"Usyi Sihombing, S.E.I","Gang M.T Haryono No. 8, Pontianak, Bengkulu 66810",Tangerang,DKI Jakarta,53839,+62-30-523-4368,1954-07-04,Perempuan,Aktif
167,"Bakiono Namaga, S.Gz","Jl. Kutai No. 3, Banjarbaru, SN 39453",Palembang,Nusa Tenggara Timur,77689,+62 (66) 081-5996,1965-07-31,Perempuan,Nonaktif
168,Yuni Rajata,"Gang Waringin No. 4, Cimahi, KI 56413",Kota Administrasi Jakarta Barat,Bengkulu,02654,084 793 4176,1947-08-10,Laki-laki,Nonaktif
169,"Drs. Puji Hardiansyah, S.Gz","Jl. Jayawijaya No. 794, Bau-Bau, PA 99461",Medan,Lampung,87621,+62 (98) 184 3020,1966-12-24,Laki-laki,Nonaktif
170,"Yulia Rahmawati, S.IP","Jalan Dipenogoro No. 041, Banjarmasin, SG 59562",Purwokerto,Papua,80114,+62-28-047-2883,1949-07-07,Laki-laki,Nonaktif
171,Drs. Dina Wulandari,"Gg. Cikutra Timur No. 402, Kota Administrasi Jakarta Selatan, Papua 43196",Kediri,Sulawesi Selatan,83462,+62 (0067) 720-0122,1950-11-06,Laki-laki,Nonaktif
172,R.A. Usyi Firgantoro,"Jl. Dipenogoro No. 581, Yogyakarta, PA 60982",Banjarbaru,Sumatera Utara,15775,+62 (082) 155 1694,1977-07-10,Perempuan,Aktif
173,Putri Waskita,"Jl. Dipenogoro No. 27, Lubuklinggau, Bali 52308",Banjarmasin,Kalimantan Tengah,80597,+62-0434-753-0275,1992-07-31,Laki-laki,Nonaktif
174,KH. Taufik Wulandari,"Gg. Ahmad Yani No. 564, Denpasar, MU 44424",Tasikmalaya,Bengkulu,34530,+62 (395) 118-6171,2005-01-11,Laki-laki,Nonaktif
175,Vera Siregar,"Gg. Indragiri No. 7, Serang, MU 92142",Palangkaraya,Papua,71702,+62 (352) 632 0983,1960-03-04,Perempuan,Aktif
176,"Tgk. Puput Winarsih, S.E.","Gg. Jayawijaya No. 619, Tangerang, BA 09778",Bima,Gorontalo,11416,(011) 523-5207,1988-06-09,Perempuan,Nonaktif
177,Farah Lailasari,"Gang R.E Martadinata No. 851, Jayapura, Gorontalo 22450",Metro,Riau,62434,+62 (559) 025 9408,1965-09-08,Laki-laki,Nonaktif
178,Maras Sinaga,"Jalan Soekarno Hatta No. 95, Kota Administrasi Jakarta Pusat, Sulawesi Utara 88363",Padangpanjang,Bengkulu,52352,+62 (0014) 162 0839,1994-03-11,Laki-laki,Nonaktif
179,"Raina Rajata, M.M.","Jalan Jend. Sudirman No. 1, Surakarta, Jawa Tengah 18723",Tebingtinggi,Kalimantan Barat,65812,+62 (901) 136-6380,1991-07-14,Perempuan,Aktif
180,dr. Uli Uyainah,"Jl. Asia Afrika No. 10, Surabaya, Jambi 78088",Banjarbaru,Kalimantan Tengah,90304,+62 (050) 809-9047,1963-07-22,Laki-laki,Nonaktif
181,Rahman Wijaya,"Jl. Kutai No. 999, Kota Administrasi Jakarta Selatan, KT 77515",Binjai,Sulawesi Tenggara,30518,+62-46-206-8904,1961-03-12,Laki-laki,Nonaktif
182,"Tgk. Tiara Padmasari, S.Gz","Gg. Setiabudhi No. 7, Kota Administrasi Jakarta Pusat, Bali 79392",Sawahlunto,Kalimantan Timur,53687,(075) 979-1546,1947-12-19,Laki-laki,Aktif
183,"Ir. Purwanto Sinaga, M.M.","Gg. W.R. Supratman No. 608, Banjarmasin, RI 71529",Tegal,Nusa Tenggara Timur,75269,+62 (47) 198 8234,1986-11-27,Laki-laki,Nonaktif
184,Sadina Uwais,"Jalan Antapani Lama No. 750, Bau-Bau, JK 33535",Surakarta,Jawa Tengah,19786,0849729074,1964-09-20,Laki-laki,Aktif
185,Saiful Napitupulu,"Gg. Dipatiukur No. 011, Banjarmasin, YO 07268",Kota Administrasi Jakarta Selatan,Kalimantan Utara,06803,+62 (845) 132 2725,1963-10-06,Laki-laki,Nonaktif
186,"Dr. Ajeng Hakim, S.T.","Gg. Ahmad Dahlan No. 10, Makassar, GO 14444",Tanjungpinang,Bengkulu,32023,+62-219-318-8530,1982-01-02,Laki-laki,Aktif
187,"R. Limar Hidayanto, S.Psi","Gg. Kutai No. 832, Bau-Bau, PB 72026",Malang,DKI Jakarta,57566,+62-062-130-2944,2000-07-25,Perempuan,Nonaktif
188,Karya Irawan,"Jalan Rungkut Industri No. 7, Cilegon, BE 86815",Binjai,Sulawesi Utara,17000,(018) 098 6255,1967-02-08,Laki-laki,Aktif
189,KH. Jarwadi Wibisono,"Gg. Ahmad Yani No. 555, Prabumulih, Sulawesi Utara 16093",Prabumulih,Sumatera Barat,73588,+62 (028) 503-9290,2006-01-01,Laki-laki,Nonaktif
190,"Padma Maheswara, S.I.Kom","Jalan Moch. Ramdan No. 191, Bekasi, Papua 77259",Bau-Bau,Nusa Tenggara Barat,10232,+62 (16) 691-1720,2004-03-27,Perempuan,Nonaktif
191,"Tgk. Farhunnisa Yolanda, M.Farm","Jl. Cempaka No. 012, Bandung, ST 52624",Makassar,Kalimantan Selatan,65622,+62-0767-544-0191,1955-07-31,Laki-laki,Aktif
192,Hj. Shania Susanti,"Gang Pasteur No. 91, Cilegon, Sumatera Utara 15523",Sorong,Maluku,83878,+62 (23) 602 1116,1958-03-06,Laki-laki,Aktif
193,Cut Zizi Tarihoran,"Jalan Stasiun Wonokromo No. 7, Kota Administrasi Jakarta Timur, Banten 73798",Dumai,Sulawesi Barat,23796,+62-577-799-7085,1965-09-29,Perempuan,Nonaktif
194,"Dr. Ani Nurdiyanti, S.E.","Gang Moch. Toha No. 3, Tanjungpinang, SG 69784",Tasikmalaya,Jawa Tengah,44379,+62 (0869) 571 8857,1996-07-27,Perempuan,Nonaktif
195,"Drs. Mursinin Wastuti, S.Pd","Jl. Kutisari Selatan No. 5, Pasuruan, MU 12181",Pasuruan,Maluku,91915,+62 (56) 493-1691,1969-02-11,Perempuan,Aktif
196,Rahmi Tamba,"Jalan Laswi No. 8, Bau-Bau, BB 32562",Tanjungpinang,Nusa Tenggara Barat,92638,+62 (0777) 790-0234,2001-03-08,Laki-laki,Nonaktif
197,"Jaswadi Situmorang, S.Pt","Gg. Cempaka No. 9, Bau-Bau, BE 80354",Tanjungbalai,Jawa Tengah,46354,+62 (0520) 328 3128,1946-10-05,Perempuan,Aktif
198,Michelle Puspasari,"Gang Kapten Muslihat No. 67, Medan, YO 56450",Batu,Sulawesi Selatan,59052,+62-0631-054-9875,1949-10-18,Perempuan,Nonaktif
199,"dr. Puji Wijayanti, S.IP","Gang Cikutra Timur No. 29, Kotamobagu, SR 81970",Bengkulu,Papua Barat,02183,(085) 472 5498,1959-03-31,Laki-laki,Nonaktif
200,Vega Rajasa,"Jl. Rajiman No. 4, Bau-Bau, MU 13010",Semarang,DKI Jakarta,54502,081 008 3391,1967-05-04,Perempuan,Aktif
201,"Puti Juli Yulianti, S.E.I","Gang Ciwastra No. 85, Subulussalam, GO 12488",Metro,Jawa Timur,34011,+62 (0353) 462-4339,1986-09-06,Laki-laki,Aktif
202,Rafi Wulandari,"Gg. Waringin No. 45, Jayapura, BE 31025",Tangerang Selatan,Sumatera Barat,51303,+62 (50) 535 4773,1984-10-04,Laki-laki,Nonaktif
203,Ella Purwanti,"Jalan Waringin No. 3, Palu, Sumatera Selatan 63920",Depok,Riau,33639,+62-461-690-0946,1962-04-17,Laki-laki,Nonaktif
204,Humaira Kusmawati,"Gg. Pelajar Pejuang No. 801, Tegal, RI 91451",Sungai Penuh,Jambi,72100,+62-166-382-5163,1964-03-04,Perempuan,Nonaktif
205,"R. Ophelia Nuraini, S.Kom","Jl. Astana Anyar No. 0, Probolinggo, JB 41949",Malang,Sulawesi Utara,90460,(075) 328 3590,1963-04-08,Laki-laki,Aktif
206,Raditya Andriani,"Jalan S. Parman No. 82, Bogor, BA 08582",Tidore Kepulauan,Kalimantan Barat,44931,(0236) 457-7148,1984-10-06,Perempuan,Aktif
207,Olivia Padmasari,"Jl. Cikapayang No. 36, Subulussalam, Kalimantan Utara 34336",Lubuklinggau,Jawa Barat,84456,(075) 971 0405,1960-05-08,Perempuan,Nonaktif
208,"R.A. Laras Lailasari, S.I.Kom","Jl. Cikutra Barat No. 2, Pasuruan, Sulawesi Tenggara 02379",Mojokerto,Papua Barat,39759,+62 (632) 978-6247,1970-03-24,Laki-laki,Nonaktif
209,"Adhiarja Waskita, M.TI.","Jl. Ciwastra No. 290, Sungai Penuh, JB 00433",Tangerang Selatan,Sulawesi Tengah,12575,(0620) 906-0676,1970-01-15,Laki-laki,Aktif
210,Gadang Situmorang,"Gg. Moch. Toha No. 33, Lhokseumawe, Kepulauan Riau 40274",Meulaboh,Sulawesi Barat,73682,+62 (88) 202-2940,1975-12-18,Perempuan,Nonaktif
211,"Ira Permadi, S.E.I","Gg. Suryakencana No. 8, Serang, RI 48404",Kupang,Nusa Tenggara Barat,45181,+62 (25) 160 9747,1971-11-16,Laki-laki,Nonaktif
212,Cakrabirawa Puspasari,"Gg. Gegerkalong Hilir No. 6, Sawahlunto, Sumatera Utara 56351",Pangkalpinang,Maluku,60724,+62-0994-633-7329,1981-06-17,Laki-laki,Aktif
213,"Hj. Patricia Irawan, M.TI.","Gang Joyoboyo No. 016, Bukittinggi, Sumatera Barat 36661",Dumai,DI Yogyakarta,05805,+62 (003) 995 8802,2006-01-23,Laki-laki,Aktif
214,Ana Anggriawan,"Gang Erlangga No. 135, Palembang, Maluku 57538",Serang,Jawa Timur,49409,(0384) 703-3504,1997-09-27,Laki-laki,Aktif
215,"Puti Eka Suwarno, M.M.","Jl. Pelajar Pejuang No. 8, Sabang, KT 01825",Medan,Papua Barat,80349,+62 (032) 454-6246,2003-10-05,Laki-laki,Aktif
216,Chandra Santoso,"Jl. Ahmad Dahlan No. 0, Bau-Bau, KR 66959",Banda Aceh,Papua,54589,+62 (174) 396 9055,1983-04-04,Laki-laki,Nonaktif
217,Olivia Nasyidah,"Jl. Jayawijaya No. 891, Pontianak, JA 91636",Bontang,Bali,96260,+62-014-431-7219,1951-04-08,Perempuan,Aktif
218,Utama Simbolon,"Jl. Yos Sudarso No. 23, Tarakan, KB 97361",Sabang,Sulawesi Selatan,06984,+62-98-301-4230,1998-07-20,Perempuan,Aktif
219,"Dr. Mila Irawan, M.M.","Gang Sukajadi No. 13, Pontianak, Gorontalo 67747",Metro,Nusa Tenggara Barat,76926,+62 (0468) 923-6534,1990-07-29,Perempuan,Nonaktif
220,"Rangga Astuti, M.TI.","Jalan Otto Iskandardinata No. 379, Jambi, Kalimantan Tengah 42936",Ternate,Papua Barat,95224,+62 (898) 481-1882,1964-04-25,Laki-laki,Aktif
221,"Sutan Baktianto Latupono, M.Ak","Jl. Abdul Muis No. 21, Tomohon, Sulawesi Barat 09302",Pagaralam,Bengkulu,33304,0884617136,1966-08-21,Perempuan,Aktif
222,Nugraha Oktaviani,"Gang Pasteur No. 932, Tanjungbalai, ST 10646",Tidore Kepulauan,Jambi,33937,(058) 322-0050,1953-10-10,Laki-laki,Nonaktif
223,Cemeti Gunawan,"Jl. Gardujati No. 39, Palopo, Bengkulu 56979",Balikpapan,Nusa Tenggara Timur,25385,+62 (86) 029 1546,1958-11-18,Laki-laki,Aktif
224,Estiono Nugroho,"Jalan Ronggowarsito No. 409, Meulaboh, LA 87548",Sawahlunto,Gorontalo,54036,(059) 915 1332,1954-12-05,Laki-laki,Aktif
225,Puti Ulva Gunawan,"Jl. Merdeka No. 92, Gorontalo, Maluku 87555",Cimahi,Sulawesi Selatan,67777,+62-0792-897-0876,1983-06-20,Laki-laki,Nonaktif
226,"Tgk. Cindy Aryani, S.Psi","Gang Astana Anyar No. 88, Palu, NB 17692",Pontianak,Sulawesi Selatan,11813,0807377887,1981-05-07,Laki-laki,Nonaktif
227,"Dt. Darsirah Yuniar, M.Kom.","Gg. KH Amin Jasuta No. 816, Kota Administrasi Jakarta Utara, Kalimantan Barat 86345",Sungai Penuh,Riau,49372,+62 (085) 806-0580,1956-07-19,Perempuan,Aktif
228,Umar Handayani,"Jl. Tebet Barat Dalam No. 712, Pekalongan, BT 07100",Makassar,Lampung,90792,+62-11-613-5999,1965-02-21,Laki-laki,Aktif
229,"Okta Suwarno, S.Sos","Jalan Ahmad Yani No. 7, Bima, Sulawesi Tenggara 36087",Tanjungpinang,Maluku,77784,+62-695-132-3404,1950-05-22,Laki-laki,Aktif
230,Nova Halim,"Jl. Sadang Serang No. 93, Padangpanjang, SN 69332",Probolinggo,Bengkulu,02868,+62 (049) 015 6574,1984-05-09,Laki-laki,Nonaktif
231,"Dr. Pardi Agustina, S.Psi","Jalan BKR No. 19, Magelang, Papua 36548",Pontianak,Sulawesi Barat,59545,(059) 698 8644,1973-01-16,Perempuan,Nonaktif
232,Sadina Hastuti,"Gang Monginsidi No. 6, Padang, SG 92287",Jambi,Kalimantan Timur,09134,+62-75-664-8735,1973-07-13,Laki-laki,Aktif
233,Paiman Dongoran,"Gg. Gardujati No. 4, Jambi, Sumatera Utara 86208",Mataram,Kepulauan Riau,62874,+62 (11) 612 9317,1953-08-17,Perempuan,Nonaktif
234,"Caturangga Winarsih, M.Ak","Gang Moch. Toha No. 96, Surabaya, Sulawesi Tenggara 37969",Sukabumi,Aceh,68546,+62 (084) 484 0504,1974-11-04,Perempuan,Aktif
235,Salimah Suryatmi,"Gang Waringin No. 163, Padang, Papua 26136",Tasikmalaya,Sulawesi Selatan,98997,+62 (438) 688 0689,2004-12-01,Laki-laki,Aktif
236,Ir. Jasmin Nurdiyanti,"Gang Otto Iskandardinata No. 874, Sabang, DI Yogyakarta 23442",Kendari,Jawa Barat,49018,+62 (0987) 308-1609,1954-02-03,Perempuan,Aktif
237,Talia Widiastuti,"Jalan Suniaraja No. 622, Bitung, GO 74230",Tomohon,Jawa Tengah,74343,+62 (30) 580 4760,2003-08-19,Perempuan,Aktif
238,Mahmud Mahendra,"Jalan Dipatiukur No. 34, Surakarta, Sulawesi Barat 86526",Mojokerto,Nusa Tenggara Timur,77022,+62-082-198-0485,1949-10-07,Perempuan,Nonaktif
239,Jumari Kusmawati,"Gang Cikutra Timur No. 39, Jambi, BT 10733",Sawahlunto,Sulawesi Tenggara,40179,(0797) 312-4152,1997-01-07,Laki-laki,Aktif
240,Farhunnisa Uwais,"Jl. Ciumbuleuit No. 987, Tangerang Selatan, SS 57847",Sukabumi,DKI Jakarta,57278,+62 (037) 187-7179,1971-12-29,Laki-laki,Aktif
241,Gawati Purnawati,"Gg. S. Parman No. 1, Sibolga, Maluku Utara 93335",Sabang,Sulawesi Tengah,91486,+62 (89) 153 7214,1973-07-05,Laki-laki,Nonaktif
242,Hilda Kusumo,"Gang H.J Maemunah No. 7, Bandar Lampung, Lampung 98245",Serang,Sulawesi Tengah,59194,+62-308-247-8203,1975-08-26,Perempuan,Nonaktif
243,Adinata Nashiruddin,"Gg. Ciumbuleuit No. 3, Makassar, SG 85666",Palembang,Aceh,30071,+62 (088) 078 6685,1986-12-24,Laki-laki,Nonaktif
244,"Drs. Wulan Yuniar, M.Pd","Gang Asia Afrika No. 64, Kendari, Nusa Tenggara Barat 18383",Kota Administrasi Jakarta Pusat,Kepulauan Riau,71500,0849159867,1955-12-09,Laki-laki,Aktif
245,"Hj. Cinta Fujiati, M.Farm","Jl. Kiaracondong No. 6, Langsa, Kalimantan Barat 26750",Palembang,Kepulauan Riau,33944,(0794) 866-0910,1950-05-04,Laki-laki,Nonaktif
246,Rika Puspasari,"Jl. Suryakencana No. 834, Makassar, KR 55033",Kota Administrasi Jakarta Selatan,Papua Barat,38781,+62 (707) 853-6199,1991-06-28,Perempuan,Aktif
247,T. Kasusra Suartini,"Gg. W.R. Supratman No. 09, Payakumbuh, BT 86254",Tangerang Selatan,Kepulauan Bangka Belitung,29246,081 837 4256,1954-12-28,Laki-laki,Nonaktif
248,Jessica Situmorang,"Jl. Wonoayu No. 05, Meulaboh, MU 69923",Pasuruan,Nusa Tenggara Timur,50295,+62 (41) 753 7276,1959-08-03,Perempuan,Aktif
249,"Taufik Mansur, S.IP","Jalan S. Parman No. 3, Tual, Sulawesi Barat 55988",Metro,Sulawesi Tenggara,09347,+62-757-479-8742,1975-03-30,Perempuan,Aktif
250,Maya Prayoga,"Gang Setiabudhi No. 1, Bandar Lampung, GO 36418",Parepare,Papua Barat,08493,+62 (0810) 545-4572,1950-07-10,Perempuan,Aktif
251,Dr. Baktianto Marbun,"Gg. Dipatiukur No. 5, Solok, Nusa Tenggara Barat 19856",Magelang,Jawa Barat,79749,0859209934,1976-04-16,Laki-laki,Nonaktif
252,Garan Pratiwi,"Jl. Yos Sudarso No. 22, Malang, Sumatera Selatan 81914",Metro,Kepulauan Riau,72084,(048) 711-7312,1961-02-06,Laki-laki,Nonaktif
253,Belinda Hakim,"Jalan Medokan Ayu No. 935, Bengkulu, Sumatera Selatan 90700",Sorong,Sulawesi Utara,67416,+62-868-243-4578,1972-08-28,Laki-laki,Aktif
254,"dr. Wage Pranowo, S.I.Kom","Jl. Otto Iskandardinata No. 236, Tasikmalaya, SN 04840",Tanjungbalai,Jawa Timur,70935,+62 (778) 418 8226,1973-01-07,Perempuan,Aktif
255,R. Irfan Maulana,"Jl. Gegerkalong Hilir No. 62, Jambi, SB 50873",Sungai Penuh,Aceh,60554,+62 (838) 435 8371,1955-02-08,Laki-laki,Aktif
256,"Irwan Haryanti, S.E.I","Gg. Laswi No. 7, Manado, Papua 89071",Surabaya,Sumatera Utara,84361,+62 (91) 163-8483,2003-07-19,Laki-laki,Aktif
257,Maida Firgantoro,"Jl. Ahmad Dahlan No. 96, Bau-Bau, KI 81007",Kotamobagu,Sulawesi Barat,24444,+62 (039) 135-2702,1989-12-07,Laki-laki,Aktif
258,Kani Hariyah,"Gang Medokan Ayu No. 5, Pematangsiantar, Sumatera Selatan 10606",Bandar Lampung,Riau,46112,(028) 210-7518,1981-10-01,Perempuan,Nonaktif
259,"Bala Pranowo, S.E.","Jl. Kutai No. 7, Bandung, Kalimantan Timur 79935",Lhokseumawe,Banten,26585,+62 (0594) 416 2124,1968-07-25,Perempuan,Aktif
260,"Jelita Agustina, S.Pd","Jl. Jend. A. Yani No. 8, Padang Sidempuan, RI 65294",Semarang,Kepulauan Riau,30919,+62 (075) 174 9274,1970-03-12,Perempuan,Nonaktif
261,"drg. Rika Wijaya, S.Pt","Gg. Gedebage Selatan No. 5, Mataram, SB 67626",Tarakan,Sumatera Barat,34265,+62 (048) 071-4195,2002-04-14,Perempuan,Nonaktif
262,Opan Ardianto,"Jalan KH Amin Jasuta No. 2, Bekasi, Kepulauan Riau 14129",Tangerang,Nusa Tenggara Barat,62093,+62 (0656) 749-7194,1987-11-11,Perempuan,Aktif
263,"Talia Wulandari, S.IP","Jl. M.T Haryono No. 4, Banjarbaru, PB 01590",Mataram,Sumatera Barat,84618,+62-010-348-7074,2006-04-13,Perempuan,Aktif
264,"Irsad Permata, S.Kom","Gang Cempaka No. 146, Tangerang Selatan, SR 84077",Palu,Sulawesi Tengah,38988,+62 (037) 396 4497,1994-01-13,Perempuan,Nonaktif
265,Mahdi Pudjiastuti,"Jalan Joyoboyo No. 2, Kendari, PB 63612",Ternate,Jawa Barat,55864,+62 (32) 344 7910,1959-12-13,Laki-laki,Aktif
266,Marsudi Nuraini,"Gang Ahmad Yani No. 0, Kediri, JT 23179",Mataram,Jawa Barat,78525,+62-89-412-0140,2001-08-04,Laki-laki,Aktif
267,Ajiman Prabowo,"Gang Sadang Serang No. 8, Binjai, Nusa Tenggara Timur 54945",Balikpapan,Jambi,81091,(0500) 485 4057,1965-12-05,Laki-laki,Aktif
268,Almira Tarihoran,"Jl. Erlangga No. 44, Sukabumi, DKI Jakarta 10206",Kendari,Maluku Utara,44652,+62 (595) 053 6880,1979-09-27,Laki-laki,Nonaktif
269,R. Yuliana Wijaya,"Jalan Jend. A. Yani No. 837, Bengkulu, PA 12371",Yogyakarta,Nusa Tenggara Barat,60154,+62-69-627-2334,1982-10-30,Laki-laki,Nonaktif
270,Shakila Safitri,"Jl. Rumah Sakit No. 80, Purwokerto, BA 15520",Malang,Kepulauan Bangka Belitung,78031,+62 (0863) 552-7992,1996-09-20,Perempuan,Nonaktif
271,Arsipatra Mayasari,"Gang Kapten Muslihat No. 17, Pekanbaru, SU 37659",Kota Administrasi Jakarta Pusat,Sulawesi Utara,00376,+62 (0937) 546 6082,1989-07-20,Perempuan,Aktif
272,Aurora Tamba,"Jl. Astana Anyar No. 94, Pekanbaru, SG 19008",Solok,Nusa Tenggara Barat,09943,+62-0284-598-1155,1953-03-28,Laki-laki,Nonaktif
273,"KH. Harsana Hasanah, M.Ak","Jalan Dr. Djunjunan No. 842, Bogor, Kalimantan Utara 01118",Kota Administrasi Jakarta Pusat,Sulawesi Tenggara,68228,(0655) 610 9686,1964-12-15,Perempuan,Nonaktif
274,Mariadi Hakim,"Gang Abdul Muis No. 08, Parepare, NB 91335",Tebingtinggi,Maluku Utara,00084,+62-0192-370-5264,1990-12-22,Laki-laki,Nonaktif
275,Ir. Malika Yulianti,"Jl. Otto Iskandardinata No. 14, Tebingtinggi, BT 40142",Denpasar,Kepulauan Bangka Belitung,63833,+62-015-633-4915,1953-07-11,Perempuan,Aktif
276,"Putri Yuliarti, S.Pd","Gg. Cikapayang No. 06, Bontang, Kalimantan Barat 30267",Bengkulu,Papua,92409,+62-18-139-0043,1957-02-08,Perempuan,Nonaktif
277,Ajimin Hardiansyah,"Jl. Antapani Lama No. 3, Tasikmalaya, Kepulauan Riau 04512",Pekalongan,Jambi,79312,+62 (13) 777-8773,1948-02-01,Laki-laki,Aktif
278,Gading Tampubolon,"Jalan Yos Sudarso No. 011, Kota Administrasi Jakarta Timur, RI 70417",Tidore Kepulauan,Kepulauan Bangka Belitung,88333,+62 (070) 241-3970,1967-08-01,Perempuan,Aktif
279,"Yance Sihombing, M.TI.","Jl. Ir. H. Djuanda No. 7, Palopo, Kalimantan Tengah 22426",Samarinda,Kalimantan Barat,75914,+62-0648-376-9174,1975-12-20,Laki-laki,Nonaktif
280,"Caket Wibisono, M.M.","Gang R.E Martadinata No. 6, Balikpapan, BB 38018",Ambon,Kalimantan Barat,89814,+62 (648) 036 2636,1970-07-03,Laki-laki,Nonaktif
281,"Sutan Umay Anggraini, S.Kom","Gg. Tubagus Ismail No. 2, Batam, Sulawesi Tenggara 54816",Purwokerto,Maluku,31094,(0037) 747-1615,1990-08-14,Laki-laki,Aktif
282,Sutan Empluk Sirait,"Jalan Astana Anyar No. 1, Solok, SU 59974",Bitung,Bengkulu,44455,+62 (023) 450-4857,1947-05-04,Laki-laki,Aktif
283,Dt. Edison Hidayat,"Jl. Bangka Raya No. 114, Bandar Lampung, Sumatera Selatan 49300",Madiun,Jambi,38882,+62 (851) 239 8000,1995-01-20,Perempuan,Aktif
284,Gangsa Purwanti,"Jalan Cempaka No. 756, Pekanbaru, Kepulauan Bangka Belitung 65529",Payakumbuh,Jawa Timur,30690,+62 (784) 909-7973,1979-12-26,Perempuan,Aktif
285,"Hani Wibowo, M.Ak","Jl. Ciwastra No. 1, Surakarta, BA 47441",Kendari,Papua,45540,(0796) 939-0996,1964-12-25,Laki-laki,Nonaktif
286,Paulin Wibisono,"Jalan K.H. Wahid Hasyim No. 031, Gorontalo, Nusa Tenggara Timur 52230",Pontianak,Kalimantan Barat,15180,+62 (02) 273-2828,1982-04-12,Perempuan,Aktif
287,"Eva Haryanto, S.Sos","Jl. Pasteur No. 574, Kupang, JK 27887",Kediri,DI Yogyakarta,34518,+62 (0576) 400 9933,2004-02-22,Perempuan,Aktif
288,Praba Mustofa,"Gang Astana Anyar No. 818, Bogor, Jambi 01794",Cilegon,DI Yogyakarta,00190,(0583) 528 0883,1992-06-17,Laki-laki,Nonaktif
