id_pelanggan,nama_pelanggan,alamat,kota,provinsi,kode_pos,nomor_telepon,email,tanggal_registrasi,status_pelanggan
2138,Ian Dongoran,Gang Raya Ujungberung No. 69,Jl. Kutai No. 58,"Pekanbaru, DKI Jakarta 12068",87065,+62 (726) 538-4220,tlaksita@example.net,2022-03-29,Aktif
2139,Balapati Haryanti,Gang PHH. Mustofa No. 09,Jalan Ahmad Yani No. 763,"Surakarta, KT 54401",43264,+62 (983) 647 9036,carubrahmawati@example.net,2022-04-03,Tidak Aktif
2140,Uda Situmorang,Gg. Moch. Toha No. 8,Gg. Asia Afrika No. 92,"Mojokerto, Maluku Utara 06062",86403,+62 (0010) 290 9275,kartikapurwanti@example.org,2023-11-15,Aktif
2141,"Anom Napitupulu, S.Sos",Jl. Ahmad Yani No. 70,Gang Peta No. 982,"Kota Administrasi Jakarta Timur, NB 70602",27598,0880697261,permadiadinata@example.org,2024-01-04,Aktif
2142,Kiandra Haryanto,Gg. R.E Martadinata No. 8,Gang Suryakencana No. 9,"Pariaman, Bengkulu 74602",31453,+62 (0019) 308 9630,wardimayasari@example.net,2022-10-23,Aktif
2143,"Sutan Utama Nugroho, S.Kom",Jl. Gegerkalong Hilir No. 6,Jalan Ciumbuleuit No. 5,"Bau-Bau, Papua Barat 63829",36133,+62 (0466) 443-8429,hfarida@example.net,2023-04-24,Tidak Aktif
2144,Embuh Anggraini,Gg. Ciumbuleuit No. 39,Gg. Raya Setiabudhi No. 306,"Sabang, Papua Barat 10501",73460,089 217 2057,mhidayat@example.net,2022-05-24,Tidak Aktif
2145,Hendra Siregar,Gg. Cempaka No. 560,Jalan Cempaka No. 02,"Purwokerto, SG 53672",00006,+62 (47) 551 1620,argononatsir@example.net,2021-09-20,Tidak Aktif
2146,"Dt. Johan Hidayanto, S.Pd",Gang Kebonjati No. 3,Gg. Ir. H. Djuanda No. 7,"Madiun, Maluku 56011",57275,(035) 795 9666,ihsan75@example.com,2022-08-08,Tidak Aktif
2147,Zelaya Suryono,Jalan Otto Iskandardinata No. 3,Jl. HOS. Cokroaminoto No. 215,"Langsa, SR 42253",84734,089 984 3124,firmansyahikin@example.org,2023-03-14,Aktif
2148,H. Argono Siregar,Jl. Sentot Alibasa No. 147,Jalan Gegerkalong Hilir No. 80,"Payakumbuh, KI 63709",10333,+62-084-093-0176,marbunjamal@example.net,2023-06-02,Tidak Aktif
2149,Tgk. Panca Budiyanto,Gg. HOS. Cokroaminoto No. 573,Gang Sentot Alibasa No. 3,"Blitar, DKI Jakarta 83948",59194,+62 (973) 470-3784,kuswandarilatika@example.net,2023-07-15,Tidak Aktif
2150,Cindy Napitupulu,Gang BKR No. 4,Jl. Pasteur No. 0,"Kendari, SG 37019",11734,+62-016-124-9353,dariati33@example.org,2022-11-15,Tidak Aktif
2151,Yusuf Padmasari,Gang Suryakencana No. 5,Jl. Cempaka No. 9,"Samarinda, Gorontalo 29579",12187,+62 (57) 923 5407,nurdiyantimarsito@example.com,2022-01-28,Tidak Aktif
2152,"Surya Kurniawan, M.M.",Jalan Setiabudhi No. 1,Gang Ronggowarsito No. 17,"Surakarta, Jawa Barat 06469",18477,+62 (193) 834-3752,maulanadanu@example.org,2023-09-06,Tidak Aktif
2153,Drs. Farhunnisa Nasyiah,Jl. Jakarta No. 260,Gang Yos Sudarso No. 052,"Jayapura, JA 17007",88446,+62-058-669-7422,deviharyanto@example.net,2022-11-18,Aktif
2154,"Tgk. Harsaya Fujiati, S.Farm",Gg. Kapten Muslihat No. 64,Gg. Jayawijaya No. 6,"Madiun, ST 55842",38783,+62 (188) 039-6967,rmaryati@example.net,2021-10-18,Tidak Aktif
2155,Vera Prasetya,Gg. Surapati No. 072,Jalan M.T Haryono No. 290,"Kota Administrasi Jakarta Barat, Sulawesi Tenggara 99654",68169,+62-45-700-1677,titi85@example.net,2022-08-23,Tidak Aktif
2156,dr. Dalima Tampubolon,Jalan Suryakencana No. 36,Gg. Sukajadi No. 2,"Lubuklinggau, SN 80838",62072,(080) 078 5231,digdayamayasari@example.net,2021-08-09,Tidak Aktif
2157,"Sutan Eka Handayani, S.T.",Gg. Kutai No. 842,Jl. Jend. Sudirman No. 6,"Cilegon, Bali 97971",83936,+62 (431) 587 9559,susantiviman@example.net,2023-06-30,Aktif
2158,"Faizah Agustina, M.Pd",Gang Setiabudhi No. 07,Gg. Cihampelas No. 6,"Bekasi, JK 62165",85017,+62 (426) 190 4824,yahyarajasa@example.net,2021-08-24,Tidak Aktif
2159,"Wahyu Hakim, S.Ked",Jalan Ciwastra No. 093,Jl. Cihampelas No. 1,"Singkawang, Maluku Utara 41868",28978,(0299) 955 0994,padmasariusyi@example.net,2021-10-09,Aktif
2160,Jasmin Siregar,Gang Dipatiukur No. 4,Jl. Wonoayu No. 73,"Kota Administrasi Jakarta Selatan, JB 00215",44212,+62-83-523-4536,natsirjail@example.org,2023-05-18,Aktif
2161,Adikara Astuti,Gg. Pacuan Kuda No. 91,Jl. Sadang Serang No. 5,"Magelang, MU 54271",32781,(093) 530 3313,januargarda@example.com,2024-03-16,Aktif
2162,Lala Novitasari,Gang Ronggowarsito No. 40,Jl. Ciumbuleuit No. 24,"Kediri, BT 82594",96989,(0687) 425-2089,mahendratantri@example.org,2024-03-09,Aktif
2163,Galang Pradana,Jl. Cihampelas No. 624,Jalan Dipatiukur No. 09,"Kota Administrasi Jakarta Barat, JB 01675",94287,+62 (256) 884 3438,jayenghabibi@example.org,2022-06-09,Tidak Aktif
2164,Amelia Lailasari,Jalan Ahmad Dahlan No. 6,Gg. Tubagus Ismail No. 107,"Palopo, KR 50957",24611,+62 (0777) 185-6125,gunartodasa@example.org,2022-08-05,Aktif
2165,Ir. Intan Rahimah,Jl. Cikutra Timur No. 69,Jl. Lembong No. 166,"Batu, PB 62704",69760,+62-080-824-2529,kusmawaticici@example.com,2022-05-09,Tidak Aktif
2166,Lidya Pradipta,Gang Kapten Muslihat No. 44,Gang Moch. Ramdan No. 638,"Makassar, JT 00118",28989,+62 (66) 747 0924,darmantopermadi@example.com,2023-11-07,Tidak Aktif
2167,Pardi Budiman,Gg. Kutai No. 6,Jalan Indragiri No. 75,"Lhokseumawe, SN 85616",56677,(0753) 090 1639,hardiansyahcatur@example.net,2021-08-08,Tidak Aktif
2168,Faizah Prasetyo,Jl. Setiabudhi No. 8,Jl. Kebonjati No. 55,"Tomohon, Kalimantan Utara 87087",38568,(0086) 622-0596,blatupono@example.com,2022-01-11,Aktif
2169,H. Karta Widodo,Gg. Tubagus Ismail No. 461,Gg. Veteran No. 5,"Ternate, SB 02061",52451,+62-0406-754-5615,yulialaksmiwati@example.net,2022-10-04,Tidak Aktif
2170,Azalea Mansur,Jl. HOS. Cokroaminoto No. 989,Gang Indragiri No. 402,"Jayapura, ST 87275",96438,+62 (0271) 670-4378,mustofalatupono@example.com,2022-11-17,Tidak Aktif
2171,Garang Hardiansyah,Gg. Medokan Ayu No. 164,Jl. Kapten Muslihat No. 345,"Depok, Sumatera Barat 93560",08118,+62-66-934-8818,bsaptono@example.org,2024-01-25,Tidak Aktif
2172,"R.M. Luwar Wasita, S.Sos",Gang Rajawali Barat No. 1,Jl. Abdul Muis No. 6,"Lubuklinggau, Sumatera Selatan 25167",42467,+62 (35) 547-3678,cakrabirawa44@example.net,2022-03-22,Tidak Aktif
2173,"drg. Cakrawala Situmorang, S.Psi",Gg. Suniaraja No. 78,Jl. PHH. Mustofa No. 920,"Salatiga, Jawa Tengah 89482",32129,+62-065-484-8439,janet96@example.net,2022-03-05,Aktif
2174,"Zaenab Nashiruddin, S.Sos",Jalan Indragiri No. 041,Jalan Yos Sudarso No. 64,"Probolinggo, Papua Barat 55629",57567,(0334) 718-6074,harjasa43@example.org,2022-11-08,Aktif
2175,Latika Safitri,Jl. Pasir Koja No. 55,Jl. Medokan Ayu No. 54,"Samarinda, KT 55842",71697,+62 (736) 478 7608,sabri69@example.com,2022-04-24,Tidak Aktif
2176,Omar Namaga,Jl. Gardujati No. 5,Jalan Moch. Ramdan No. 653,"Semarang, Riau 02411",27220,+62-616-594-9850,arsipatra87@example.net,2023-06-30,Tidak Aktif
2177,drg. Kemba Yulianti,Gg. Tubagus Ismail No. 5,Jl. Sukajadi No. 095,"Madiun, Kalimantan Utara 75040",69660,+62 (15) 485 4587,hutapeakaren@example.com,2021-11-03,Tidak Aktif
2178,Vivi Sitompul,Jalan Bangka Raya No. 25,Jl. Yos Sudarso No. 23,"Bima, BT 31197",74716,+62 (296) 609-1414,laras93@example.com,2023-04-09,Aktif
2179,Janet Usada,Gang Rawamangun No. 92,Jl. Antapani Lama No. 73,"Blitar, JK 07023",77054,+62 (0979) 965-3007,kacunghidayanto@example.com,2021-11-22,Tidak Aktif
2180,Damu Astuti,Jl. Cikutra Timur No. 7,Gg. Lembong No. 0,"Lubuklinggau, Bengkulu 63006",94919,+62 (068) 006 4677,wastutiomar@example.org,2023-11-17,Tidak Aktif
2181,Hj. Karen Pratama,Jl. Kiaracondong No. 202,Jalan Rumah Sakit No. 1,"Solok, Sumatera Barat 95280",56430,+62 (872) 008 8381,marpaungumi@example.com,2022-11-16,Aktif
2182,Langgeng Nainggolan,Jalan Cikutra Timur No. 054,Jl. Monginsidi No. 000,"Makassar, SU 16282",39246,+62 (002) 372 3985,titimanullang@example.com,2023-08-13,Aktif
2183,"Adika Haryanti, S.Psi",Gg. Kiaracondong No. 3,Gang Merdeka No. 36,"Madiun, Sumatera Utara 97474",03774,+62 (900) 294 4211,rhutagalung@example.net,2022-03-17,Tidak Aktif
2184,Ajimat Utami,Jalan Jamika No. 3,Jalan Raya Ujungberung No. 8,"Medan, KU 23721",74503,(074) 673 1223,ganep20@example.com,2021-10-13,Aktif
2185,Artanto Sihombing,Gg. Raya Ujungberung No. 8,Jalan PHH. Mustofa No. 44,"Subulussalam, Jawa Timur 76267",40445,+62-074-390-5783,saefullahcalista@example.com,2023-06-09,Tidak Aktif
2186,Garang Saputra,Jalan Siliwangi No. 16,Jalan Kiaracondong No. 95,"Batam, SU 37245",27972,+62 (0339) 210 0750,rika86@example.com,2022-07-09,Aktif
2187,Wadi Wastuti,Jalan Erlangga No. 5,Gg. Otto Iskandardinata No. 77,"Langsa, Papua Barat 66863",78940,+62 (0974) 383 3101,lukman50@example.org,2023-04-28,Tidak Aktif
2188,"Raina Sihotang, M.TI.",Gg. Jakarta No. 977,Jalan Cikutra Timur No. 36,"Bima, Kalimantan Timur 09481",11867,+62 (092) 601 3475,darunasuryatmi@example.net,2021-09-28,Tidak Aktif
2189,Cakrawangsa Haryanto,Gg. Dr. Djunjunan No. 4,Gg. Moch. Toha No. 7,"Binjai, Gorontalo 11906",86248,+62 (089) 359-5858,hanahidayanto@example.com,2022-11-27,Aktif
2190,Julia Hidayat,Gang Bangka Raya No. 82,Jalan Ir. H. Djuanda No. 88,"Padangpanjang, KS 39904",95447,+62 (040) 285-3368,sandriani@example.org,2021-08-04,Tidak Aktif
2191,drg. Pandu Farida,Gg. Astana Anyar No. 07,Jalan W.R. Supratman No. 27,"Tual, Maluku 37938",80893,+62 (075) 875 8265,irsad47@example.com,2022-07-18,Aktif
2192,Syahrini Puspasari,Gang Gegerkalong Hilir No. 4,Jalan Cikutra Timur No. 777,"Denpasar, YO 14649",51822,(0511) 372-7964,prayogoyulianti@example.net,2022-06-10,Tidak Aktif
2193,Titi Pranowo,Gang Bangka Raya No. 74,Gang Lembong No. 29,"Bengkulu, SS 62289",22577,+62 (506) 449 8514,apuspita@example.org,2022-01-22,Aktif
2194,Atma Mangunsong,Gg. Kiaracondong No. 0,Gg. Otto Iskandardinata No. 87,"Tangerang Selatan, JA 75072",52268,(075) 695-7826,kusmawatiaisyah@example.com,2021-12-23,Tidak Aktif
2195,Maryadi Hutasoit,Jalan Pasirkoja No. 14,Gang Cihampelas No. 51,"Madiun, Sumatera Selatan 55441",37147,+62-003-199-0180,nashiruddinusyi@example.net,2023-07-04,Aktif
2196,Hesti Sitompul,Gang Abdul Muis No. 15,Gg. Cihampelas No. 3,"Tasikmalaya, RI 03165",04539,+62 (0501) 326-1168,darijanwaskita@example.org,2023-07-27,Tidak Aktif
2197,drg. Ana Wibisono,Jl. Rajawali Timur No. 014,Jalan Medokan Ayu No. 0,"Singkawang, Papua 20113",01409,(0507) 994-7443,chelsealatupono@example.com,2023-11-27,Tidak Aktif
2198,Paiman Siregar,Gg. Sukabumi No. 1,Jalan R.E Martadinata No. 2,"Pangkalpinang, MU 02295",49461,+62-611-501-0939,gamaniadriansyah@example.com,2023-10-08,Aktif
2199,Icha Iswahyudi,Jalan Veteran No. 77,Jl. Sentot Alibasa No. 346,"Pekanbaru, BA 94330",69574,(0702) 331-2257,hnugroho@example.net,2021-08-24,Tidak Aktif
2200,Maida Astuti,Gang Kutisari Selatan No. 9,Jalan Pacuan Kuda No. 0,"Manado, Jawa Tengah 50466",55569,+62 (157) 304 2157,zelaya31@example.net,2023-08-12,Tidak Aktif
2201,R.A. Rika Hutagalung,Gang Cihampelas No. 5,Gg. Kutai No. 815,"Depok, RI 35370",67226,085 988 1042,bagasanggriawan@example.com,2023-06-23,Tidak Aktif
2202,Eva Mandala,Jalan Medokan Ayu No. 90,Jl. Kebonjati No. 4,"Padangpanjang, Jawa Barat 83500",05475,(064) 632-7732,maimunah11@example.net,2022-09-13,Aktif
2203,Radika Sihotang,Gang Jend. Sudirman No. 418,Gg. Moch. Ramdan No. 4,"Tarakan, KU 14544",42949,(052) 777-7161,hutasoitdalimin@example.net,2022-11-02,Tidak Aktif
2204,Dr. Bala Rahimah,Jl. Cihampelas No. 636,Jalan Ciumbuleuit No. 792,"Palembang, Maluku 55810",25911,+62 (08) 451 2922,nababanputri@example.com,2021-06-24,Tidak Aktif
2205,H. Prabowo Putra,Jl. Cikutra Timur No. 0,Gg. Kapten Muslihat No. 2,"Palopo, Sulawesi Utara 54256",37697,(0667) 511 2249,xputra@example.org,2022-05-24,Aktif
2206,"R.M. Hairyanto Utama, M.Kom.",Jalan BKR No. 162,Jalan M.T Haryono No. 14,"Tidore Kepulauan, AC 05303",14456,+62 (093) 541 9296,jhalimah@example.net,2021-07-08,Aktif
2207,Tari Simanjuntak,Gg. Ahmad Yani No. 15,Jl. Rawamangun No. 285,"Cimahi, SG 82559",61399,0845795032,rusmansuwarno@example.org,2021-09-29,Tidak Aktif
2208,Lalita Puspasari,Gg. Yos Sudarso No. 530,Gang Asia Afrika No. 622,"Kotamobagu, NB 21502",57496,+62 (075) 517-2395,slametpradipta@example.net,2022-07-18,Aktif
2209,Diah Namaga,Jalan Ir. H. Djuanda No. 3,Gg. Kendalsari No. 053,"Tual, Kalimantan Tengah 16659",62564,(0172) 041-7265,anggriawannardi@example.org,2022-07-10,Tidak Aktif
2210,Puput Widodo,Gg. Dipenogoro No. 095,Gg. Merdeka No. 208,"Bau-Bau, Banten 91272",82235,+62-0153-148-8347,cakrajiyapurwanti@example.org,2023-10-04,Aktif
2211,Enteng Pertiwi,Gang Abdul Muis No. 1,Jl. Raya Ujungberung No. 00,"Tanjungpinang, SB 41993",01629,+62 (065) 696 8593,pyuniar@example.net,2023-05-05,Aktif
2212,"Waluyo Siregar, S.Farm",Gg. Pasirkoja No. 0,Jalan Gedebage Selatan No. 2,"Surabaya, Kepulauan Riau 05103",47566,+62 (959) 823 0262,drajatastuti@example.com,2022-07-10,Tidak Aktif
2213,"drg. Karja Hariyah, M.Farm",Jl. Cikutra Barat No. 095,Jalan Cihampelas No. 783,"Bontang, Kepulauan Bangka Belitung 69647",55465,+62 (078) 706-4579,hwinarno@example.com,2022-11-11,Aktif
2214,Jaga Anggraini,Jalan Cikutra Timur No. 0,Gg. Bangka Raya No. 92,"Probolinggo, Jawa Timur 77917",85414,+62-969-235-5197,estiawanhalimah@example.com,2023-12-20,Aktif
2215,R. Unjani Hakim,Jalan M.T Haryono No. 027,Gg. Wonoayu No. 168,"Subulussalam, SS 41467",84099,+62-715-847-1874,cpadmasari@example.org,2023-11-06,Aktif
2216,Jasmin Natsir,Jalan Gardujati No. 94,Gang Erlangga No. 6,"Sawahlunto, KI 16773",87896,+62 (0411) 175-4500,namagaopan@example.org,2023-10-12,Tidak Aktif
2217,H. Galak Hutasoit,Jalan Tubagus Ismail No. 2,Jalan Medokan Ayu No. 4,"Kupang, SB 88931",08835,+62-011-773-8096,karya33@example.org,2021-09-30,Aktif
2218,Gawati Sihotang,Gg. S. Parman No. 38,Jl. Cikutra Barat No. 995,"Medan, Nusa Tenggara Timur 68670",51736,+62 (230) 513-8156,ciaobella83@example.net,2023-10-17,Aktif
2219,Eva Wastuti,Jl. Dipatiukur No. 82,Gang Jamika No. 12,"Bontang, SU 71250",56066,+62-0601-517-3552,hyuniar@example.com,2022-12-05,Tidak Aktif
2220,Oman Pratiwi,Gg. Dr. Djunjunan No. 986,Gg. Kutisari Selatan No. 0,"Kendari, MA 28331",60887,+62 (0361) 620-6413,kayun82@example.org,2023-10-24,Tidak Aktif
2221,Prasetya Susanti,Gang Cikutra Barat No. 3,Gg. Moch. Toha No. 001,"Yogyakarta, LA 26842",78790,+62-0959-399-6996,bakiadi03@example.com,2021-06-27,Tidak Aktif
2222,R. Patricia Wibowo,Gang Suryakencana No. 15,Gang Laswi No. 975,"Balikpapan, SN 52413",50560,+62 (067) 210-1604,gandi62@example.com,2023-01-16,Aktif
2223,Drs. Widya Pradipta,Gang Kutai No. 02,Gang Ciwastra No. 208,"Purwokerto, SU 25253",50085,(044) 906-5240,adikara32@example.org,2021-11-11,Tidak Aktif
2224,Puti Firmansyah,Gg. Dipenogoro No. 19,Gang Dipatiukur No. 409,"Ambon, Sulawesi Barat 86658",22298,(027) 847-9182,ikuswandari@example.org,2022-01-18,Aktif
2225,Padma Padmasari,Gg. Moch. Toha No. 120,Jalan Rajawali Timur No. 328,"Bima, BA 12387",48941,(026) 426-3223,kemalsiregar@example.net,2023-06-13,Tidak Aktif
2226,Ir. Dacin Hidayat,Gg. Kutisari Selatan No. 388,Gang Cempaka No. 439,"Mataram, Sulawesi Tengah 41934",31016,+62 (0448) 723-8168,gilangsimanjuntak@example.net,2022-07-15,Aktif
2227,"Cut Siska Wibowo, M.Kom.",Gang W.R. Supratman No. 54,Jalan Ronggowarsito No. 256,"Pagaralam, Banten 48055",61230,+62 (022) 996-2730,jaganovitasari@example.org,2023-02-07,Tidak Aktif
2228,Eva Habibi,Jalan Rajiman No. 553,Gang BKR No. 86,"Samarinda, BB 63309",55776,(022) 584-4961,makarawibowo@example.net,2022-05-16,Tidak Aktif
2229,"Narji Halim, S.I.Kom",Jalan Kebonjati No. 617,Jl. Pacuan Kuda No. 040,"Sukabumi, SG 69133",66969,(075) 319 8019,jabalpratama@example.com,2023-04-08,Aktif
2230,Dartono Sitompul,Jl. Sukajadi No. 50,Jalan Erlangga No. 941,"Kupang, KI 73021",28486,(054) 903-7350,bagyawaluyo@example.org,2023-06-17,Tidak Aktif
2231,"Puti Irma Pradana, M.Farm",Gang Cihampelas No. 50,Gg. Sukajadi No. 4,"Madiun, KT 29578",90971,+62 (035) 096 9363,muni73@example.com,2021-11-30,Tidak Aktif
2232,Rina Halimah,Gang Rajiman No. 1,Gang Rumah Sakit No. 970,"Palangkaraya, KR 85052",51181,+62 (0106) 347 9129,uprasetya@example.com,2022-09-16,Aktif
2233,Dagel Saefullah,Jl. Soekarno Hatta No. 10,Gang Abdul Muis No. 17,"Tegal, Kalimantan Selatan 64555",96836,082 836 4791,jasminpuspita@example.com,2022-03-30,Tidak Aktif
2234,"Daru Maulana, S.Psi",Jl. Rungkut Industri No. 220,Jl. Gardujati No. 314,"Samarinda, Jawa Tengah 12799",77189,(083) 324-5894,saka46@example.net,2023-09-05,Tidak Aktif
2235,Karya Natsir,Gg. Soekarno Hatta No. 2,Gg. Jend. A. Yani No. 95,"Surakarta, MA 75836",87392,(058) 958 1837,dongoransaiful@example.net,2022-03-14,Aktif
2236,"Anom Widodo, S.Gz",Jl. Gedebage Selatan No. 1,Gg. Ahmad Yani No. 7,"Tangerang Selatan, SU 55521",53598,+62-011-570-4211,prayogaikhsan@example.com,2021-05-27,Tidak Aktif
2237,Darijan Hariyah,Gg. Sentot Alibasa No. 47,Gang Jend. A. Yani No. 28,"Malang, KU 20081",82796,+62 (25) 469-4238,winarsihmartaka@example.org,2022-11-22,Tidak Aktif
2238,"Drs. Daruna Usada, M.Ak",Jl. Abdul Muis No. 4,Gg. Jayawijaya No. 251,"Dumai, Kalimantan Tengah 49572",12589,+62 (963) 349-2180,kprasetyo@example.com,2021-12-01,Aktif
2239,Mila Habibi,Jl. Cikutra Barat No. 66,Jalan Pacuan Kuda No. 49,"Metro, Maluku Utara 50759",95258,085 881 5706,kusmawaticici@example.com,2022-10-02,Tidak Aktif
2240,Warsa Firmansyah,Gg. Laswi No. 5,Gg. Pasirkoja No. 26,"Banjarmasin, AC 39862",20922,(064) 500 1570,gunawanbancar@example.net,2022-12-25,Aktif
2241,Iriana Rahmawati,Gg. Erlangga No. 739,Jl. M.T Haryono No. 069,"Pariaman, SR 10659",28902,+62-29-465-4052,hsaefullah@example.com,2023-03-15,Tidak Aktif
2242,"Keisha Suryono, S.T.",Gang Pelajar Pejuang No. 7,Gang Monginsidi No. 437,"Singkawang, SS 07903",94035,+62 (008) 351-2884,qhartati@example.com,2022-03-19,Aktif
2243,Drs. Yuliana Mandala,Jl. Kapten Muslihat No. 323,Gang S. Parman No. 96,"Meulaboh, Bengkulu 49392",61061,+62-55-605-0886,gandayuniar@example.org,2021-08-02,Aktif
2244,Indah Rahmawati,Gang M.T Haryono No. 5,Gang Laswi No. 3,"Padang, GO 33852",16515,+62 (069) 760-8117,nyulianti@example.net,2022-10-21,Tidak Aktif
2245,"Cut Samiah Nasyidah, S.Gz",Gang Joyoboyo No. 6,Jl. Otto Iskandardinata No. 91,"Ambon, DKI Jakarta 93527",26848,+62-747-881-8310,spuspita@example.net,2023-01-26,Tidak Aktif
2246,dr. Oskar Yuniar,Jl. K.H. Wahid Hasyim No. 3,Jl. Gedebage Selatan No. 078,"Jambi, Sumatera Barat 14371",22629,+62-0123-459-0728,siti46@example.com,2022-05-08,Tidak Aktif
2247,Karman Usamah,Jalan Erlangga No. 9,Gg. M.T Haryono No. 97,"Palu, Nusa Tenggara Timur 64230",26090,089 142 6824,cpudjiastuti@example.com,2022-01-01,Tidak Aktif
2248,Jelita Mardhiyah,Jl. Cempaka No. 7,Gg. Erlangga No. 52,"Salatiga, Jawa Tengah 24622",26423,(0656) 005-5198,pradananiyaga@example.com,2022-06-06,Aktif
2249,"Drs. Diana Nainggolan, M.Pd",Gg. Rawamangun No. 2,Gang Indragiri No. 53,"Ternate, JT 74643",50155,+62-343-846-9365,kuncarasirait@example.net,2021-07-11,Tidak Aktif
2250,Tami Wibisono,Jalan Dipatiukur No. 018,Jalan Medokan Ayu No. 5,"Sorong, SG 48107",36046,081 279 7828,zahrakuswoyo@example.com,2022-06-15,Aktif
2251,Limar Yuniar,Jl. Kendalsari No. 170,Gg. Pelajar Pejuang No. 020,"Manado, KB 31528",28038,0804465296,zulkarnainembuh@example.org,2022-05-28,Tidak Aktif
2252,Cengkir Utami,Gang Cihampelas No. 14,Gg. Sukajadi No. 4,"Depok, BE 02501",54457,(0812) 729-6291,hutasoitwage@example.org,2021-08-19,Aktif
2253,"Cut Vera Haryanti, M.Farm",Jl. Antapani Lama No. 95,Gg. Rawamangun No. 803,"Madiun, KU 29448",77788,(042) 652-3285,zulfawijaya@example.net,2021-05-17,Aktif
2254,Vega Suryono,Jl. Tebet Barat Dalam No. 6,Gg. Gedebage Selatan No. 154,"Singkawang, Gorontalo 73149",48797,(066) 495-3064,reza29@example.com,2021-12-14,Aktif
2255,"Puti Ratih Handayani, M.Pd",Gang Dr. Djunjunan No. 9,Gg. M.H Thamrin No. 4,"Padangpanjang, BT 35745",33468,+62 (96) 943-1558,situmorangnaradi@example.com,2022-01-10,Tidak Aktif
2256,Ajiono Mangunsong,Gg. Cihampelas No. 0,Gang Sukajadi No. 15,"Padang Sidempuan, KU 11526",87297,+62 (0389) 249 4028,gandinashiruddin@example.org,2024-02-22,Aktif
2257,"Cut Cindy Laksmiwati, M.M.",Gang Moch. Ramdan No. 485,Gg. Joyoboyo No. 83,"Pekalongan, DKI Jakarta 30878",87403,+62 (378) 860-6398,nasyidahcakrawala@example.org,2023-06-02,Aktif
2258,Jayeng Halim,Jl. Monginsidi No. 46,Jalan Tebet Barat Dalam No. 907,"Kota Administrasi Jakarta Selatan, SG 71894",78950,+62-099-382-9769,tiswahyudi@example.org,2022-01-24,Aktif
2259,Viman Hasanah,Jl. Soekarno Hatta No. 1,Gang Pelajar Pejuang No. 383,"Serang, Maluku 04379",00686,+62 (075) 427-8202,hutasoitkanda@example.org,2022-11-17,Aktif
2260,Dacin Megantara,Jl. Rungkut Industri No. 7,Jalan Peta No. 7,"Palangkaraya, Kalimantan Utara 34806",66281,(072) 161 8540,jhariyah@example.org,2023-11-20,Tidak Aktif
2261,"Sutan Caket Mangunsong, S.E.I",Gg. Kutai No. 5,Jl. M.T Haryono No. 064,"Sungai Penuh, MU 35589",19547,+62 (025) 961-3172,jabal61@example.org,2023-10-25,Tidak Aktif
2262,"Latika Handayani, S.I.Kom",Jl. Kendalsari No. 99,Jalan Rajawali Barat No. 20,"Jayapura, Sulawesi Barat 82634",45858,081 974 3047,rachel83@example.net,2022-06-26,Tidak Aktif
2263,Kiandra Saefullah,Gg. Bangka Raya No. 943,Gg. Pasirkoja No. 015,"Medan, SU 11119",14912,087 139 6288,inatsir@example.org,2023-10-15,Tidak Aktif
2264,Yuni Suryatmi,Gg. Waringin No. 025,Gg. Gardujati No. 47,"Ternate, JI 92133",77054,+62 (060) 501-0179,ulaksmiwati@example.net,2023-07-16,Aktif
2265,"dr. Syahrini Riyanti, M.Ak",Jalan Monginsidi No. 68,Jalan Rumah Sakit No. 97,"Tidore Kepulauan, BA 66270",48683,+62-13-941-1126,usamahlega@example.com,2022-11-10,Tidak Aktif
2266,"Kemba Gunarto, S.E.",Gg. Pasirkoja No. 0,Gang Ahmad Dahlan No. 761,"Blitar, Kalimantan Timur 86348",95219,(0611) 411 2246,hmardhiyah@example.com,2022-05-08,Tidak Aktif
2267,"Cemani Agustina, S.Psi",Jalan Ciwastra No. 595,Gang Cikapayang No. 0,"Padang Sidempuan, Sulawesi Tengah 47297",04635,+62-0436-226-7547,gadangkuswandari@example.org,2022-07-07,Tidak Aktif
2268,T. Budi Mandala,Gg. Ronggowarsito No. 3,Jalan Cempaka No. 19,"Pematangsiantar, KU 11574",23354,+62 (637) 013 1460,marpaungbalidin@example.com,2023-10-28,Tidak Aktif
2269,Gangsa Farida,Gang Monginsidi No. 3,Gang Wonoayu No. 40,"Palembang, Sumatera Barat 60204",52500,+62 (98) 568 4561,buyainah@example.org,2021-11-02,Tidak Aktif
2270,Silvia Melani,Gang Gedebage Selatan No. 40,Gang Tebet Barat Dalam No. 9,"Bau-Bau, Kalimantan Tengah 19073",88712,(043) 170-4888,bpuspasari@example.com,2023-09-13,Tidak Aktif
2271,Murti Rahmawati,Jl. PHH. Mustofa No. 1,Jalan Surapati No. 57,"Tangerang Selatan, NT 21106",13994,+62 (96) 849-0084,emanfujiati@example.net,2023-04-07,Aktif
2272,Ira Pranowo,Jalan Gardujati No. 588,Jl. H.J Maemunah No. 475,"Sorong, Jawa Barat 31720",08789,+62 (007) 298-9481,kanda86@example.com,2023-11-30,Tidak Aktif
2273,Kasiyah Agustina,Jl. Cempaka No. 5,Jl. Peta No. 1,"Kupang, Jawa Tengah 33976",44752,+62 (078) 839-1217,qputra@example.org,2023-05-16,Tidak Aktif
